                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.5348,                 0.4849,                 1.0605,                0.88527,                0.87907,                0.92435,                0.72969,                0.78017,                0.66729,                 1.0806,               0.000416,               0.000416,               0.000416
                     51,                0.57225,                0.64519,                  1.073,                0.88601,                0.81013,                0.88859,                0.70548,                 0.8119,                0.88381,                 1.0915,               0.000383,               0.000383,               0.000383
                     52,                0.52574,                0.56957,                 1.0363,                0.91947,                0.72269,                0.82177,                  0.641,                0.84142,                 1.1994,                 1.1491,                0.00035,                0.00035,                0.00035
                     53,                0.54487,                0.54811,                 1.0775,                0.89748,                0.75949,                0.82872,                0.64637,                0.86149,                0.99637,                 1.1741,               0.000317,               0.000317,               0.000317
                     54,                0.49235,                0.47287,                 1.0307,                0.92657,                0.79865,                0.89875,                0.71576,                0.77004,                0.77596,                 1.0525,               0.000284,               0.000284,               0.000284
                     55,                0.46277,                0.47681,                 1.0352,                0.92188,                0.83544,                0.92651,                0.73453,                0.80359,                 0.7231,                 1.0947,               0.000251,               0.000251,               0.000251
                     56,                0.50552,                0.50229,                 1.0546,                0.94232,                0.82725,                0.92332,                0.73648,                0.78137,                0.68851,                 1.1001,               0.000218,               0.000218,               0.000218
                     57,                 0.4697,                0.46036,                 1.0291,                0.95561,                0.83544,                0.92149,                0.74397,                0.76234,                0.68297,                 1.0948,               0.000185,               0.000185,               0.000185
                     58,                0.46046,                0.45409,                 1.0465,                0.98755,                0.81013,                0.92641,                0.74906,                0.74175,                0.64617,                 1.0505,               0.000152,               0.000152,               0.000152
                     59,                0.50943,                 0.4548,                   1.02,                0.98469,                0.81435,                0.93624,                  0.762,                0.69509,                0.58582,                0.99203,               0.000119,               0.000119,               0.000119
                     60,                0.42843,                0.40917,                0.97359,                0.88653,                0.89016,                 0.9524,                0.78064,                0.67146,                0.55183,                0.97442,                8.6e-05,                8.6e-05,                8.6e-05
